java_path= ../Common/src
java_package=NPCommon.ErrMain
id	name	desc
1	HERO_REACH_CURRENT_STEP_LIMIT	等级达到当前阶段上限
2	HERO_UPGRADE_FAIL	骑士升级失败
3	HERO_LEVEL_NOT_ENOUGH	骑士等级不够
4	HERO_STEP_IS_MAX	骑士已达到最大阶段
5	HERO_SKILL_NOT_EXIST	骑士技能不存在
6	HERO_STAR_REACH_MAX	骑士星级达到上限
7	HERO_BUSINESS_SKILL_LEVEL_REACH_MAX	骑士经验技能等级达到上限
8	HERO_DONT_HAVE_HALO	大臣没有光环
9	HERO_TALENT_SKILL_NOT_EXIST	骑士资质技能不存在
10	HERO_SKIN_NOT_EXIST	骑士皮肤不存在
11	HERO_NOT_FOUND	骑士不存在
12	HERO_SKIN_ALREADY_EXIST	已拥有骑士皮肤
13	HERO_A_KEY_UPGRADE_FUNC_NOT_UNLOCK	大臣一键升级功能未解锁
14	HERO_HALO_UNLOCK_REPEAT	大臣重复解锁光环
15	HERO_NOT_PLACE	大臣未驻扎
16	HERO_HALO_NOT_UNLOCK	大臣光环尚未解锁
17	HERO_ALREADY_EXISTED	大臣已经存在
18	HERO_TALENT_SKILL_LEVEL_REACH_MAX	大臣资质技能等级达到上限
19	HERO_CANT_PLACE_TO_THIS_ATTR_BUILDING	大臣无法驻扎到该相性建筑
20	HERO_TALENT_SKILL_CANT_MANUAL_UPGREADE	大臣资质技能不支持手动升级
21	EQUIP_LEVEL_MAX	藏品等级已达到最大
22	EQUIP_IS_NOT_BEEN_WEAR	藏品没有被穿戴
23	EQUIP_NUM_REACH_LIMIT	该藏品数量达到上限
24	EQUIP_NOT_FOUND	藏品不存在
25	EQUIP_SKILL_NOT_FOUND	藏品技能不存在
26	EQUIP_RESHAPE_FAIL	藏品重塑失败
27	EQUIP_IS_LOCKED	藏品已锁定
28	EQUIP_IS_WEARED	藏品已穿戴
