java_path= ../Common/src
java_package=NPCommon.ErrMain
id	name	desc
1	CONSORT_NOT_EXISTS	家人不存在
2	CONSORT_FETTERS_UP_NOT_ENABLE	家人资质升级条件未满足
3	CONSORT_SKILL_NOT_EXISTS	家人技能不存在
4	CONSORT_SKILL_NOT_UNLOCK	家人技能未解锁
5	CONSORT_SKILL_LVL_FULL	家人技能已经满级
6	CONSORT_SKIN_NOT_EXISTS	家人皮肤不存在
7	CONSORT_CG_NOT_UNLOCK	家人CG未解锁
8	CONSORT_CG_HAD_REWARDED	家人CG已领奖
9	CONSORT_SKIN_HAD_UNLOCKED	家人皮肤已解锁
10	CONSORT_HALO_HAD_UNLOCKED	家人星辉已解锁
11	CONSORT_EXISTED	家人已经存在
12	CHAT_DIALOGUE_NOT_TRIGGERED	家人对话未触发
13	CHAT_DIALOGUE_REWARD_HAD_DRAW	家人对话奖励已领取
14	CONSORT_MOMENT_CHAT_OVER_LIMIT	家人朋友圈聊天次数超过上限
15	CONSORT_INITIATE_CHAT_OVER_LIMIT	家人主动发起聊天次数超过上限
16	CONSORT_EVALUATE_OVER_LIMIT	评价回复次数已达上限
