java_path= ../Common/src
java_package=NPCommon.ErrMain
id	name	desc
1	DAILY_QUEST_NOT_EXIST	日常任务不存在
2	DAILY_QUEST_HAS_FINISH	日常任务已经完成
3	DAILY_QUEST_NOT_REACH_SCORE_REQUIRE	日常任务领取不满足分数需要
4	DAILY_QUEST_NOT_UNLOCK	日常任务尚未解锁
5	DAILY_QUEST_ACTIVE_POINT_NOT_ENOUGH	日常任务活跃度不够
6	DAILY_QUEST_ACTIVE_REWARD_HAS_DRAW	日常任务活跃奖励已被领取
7	DAILY_QUEST_SERIAL_NOT_EQUAL	日常任务刷新序列号不匹配
8	DAILY_QUEST_A_KEY_DRAW_FUNC_NOT_UNLOCK	日常任务一键完成功能未解锁
9	QUEST_NOT_EXIST	任务不存在
10	QUEST_DONE_EXCEED_ERROR	任务完成次数超过限制错误
11	QUEST_START_COND_ERROR	任务开启条件未通过
12	QUEST_START_COST_ITEM_ERROR	任务开启消耗物品不足
13	QUEST_START_COST_ITEM_FAIL	任务开启消耗物品失败
14	QUEST_FINISH_FAIL	任务完成失败
15	QUEST_DROP_FAIL	任务放弃失败
16	QUEST_CLIENT_CHG_COUNT_FAIL	修改任务计数失败
