java_path= ../Common/src
java_package=NPCommon.ErrMain
id	name	desc
2	PLAYER_HAD_UNLOCK_FUNC	玩家已经解锁功能
3	NOT_REWARD_GAN_GAIN	没有可以领取的奖励
4	ALREADY_GAINED_VISIT_REWARD	已经领取拜访奖励
5	PLAYER_NAME_EQUAL	玩家用户名重复
6	PLAYER_NAME_CONTAINS_ILLEGAL_CHARACTER	玩家用户名包含非法字符
7	PLAYER_CUTE_ACTOR_NOT_ENABLE	玩家Q版形象不可用
8	PLAYER_TITLE_NOT_ENABLE	玩家头衔不可用
9	PLAYER_ICON_NOT_ENABLE	玩家头像不可用
10	PLAYER_ICON_BGK_NOT_ENABLE	玩家头像框不可用
11	PLAYER_BUBBLE_NOT_ENABLE	玩家聊天气泡框不可用
12	PLAYER_ACCOUNT_IS_FREEZE	玩家账号被冻结
13	OFFLINE_REWARD_TAKE_FAIL	领取离线奖励失败
14	SHIELD_CID_EXPEND_LIMIT	屏蔽玩家数量超过上限
15	SHIELD_PLAYER_BAN	屏蔽玩家禁止
16	TARGET_PLAYER_SHIELD_BAN	对方玩家屏蔽了当前玩家
17	WEEK_CARD_FREE_TRIAL_HAD_USE	周卡免费试用已使用
18	TODAY_HAD_LIKE	今日已点赞
19	TODAY_LIKE_REACH_LIMIT	今日点赞次数达到上限
20	CANT_LIKE_SELF	不能给自己点赞
21	RECRUIT_ALREADY_DONE	已经兑换过
22	GACHA_CUMULATIVE_REWARD_POINT_NOT_ENOUGH	抽奖累计奖励兑换积分不足
23	STATION_IS_EMPTY	竞技场贸易站没有产出
24	STATION_MAX_LEVEL	竞技场贸易站已达最高等级
25	TARGET_REWARD_HAD_DRAW	目标奖励已领取
26	TARGET_REWARD_NOT_REACH	目标奖励还没达成
27	REFRESH_TIME_NOT_ARRIVED	刷新时间未到
28	DRAW_DAILY_REWARD_ALREADY_DRAW	已经领取过每日奖励
29	DRAW_DAILY_REWARD_NOT_EXIST	没有每日奖励
31	SEVEN_DAYS_LOGIN_NOT_REACH	七日登录奖励未达成
32	SEVEN_DAYS_LOGIN_REWARD_HAD_DRAW	七日登录奖励已领取
33	SEVEN_DAYS_LOGIN_REWARD_NOT_FOUND	七日登录奖励不存在
34	EARNING_GOAL_REWARD_HAD_DRAW	赚速目标奖励已领取
35	EARNING_GOAL_REWARD_NOT_MEET_REQUIRE	赚速目标奖励未达成
36	VIP_LEVEL_REWARD_HAD_DRAW	VIP等级奖励已领取
37	VIP_LEVEL_REWARD_NOT_MEET_REQUIRE	VIP等级奖励未达成
38	FIRST_RECHARGE_GIFT_PACK_NOT_BUY	首充礼包未购买
39	FIRST_RECHARGE_REWARD_HAD_DRAW	首充奖励已领取
40	FIRST_RECHARGE_REWARD_DAY_NUM_NOT_MEET	首充奖励天数未达成
41	FIRST_RECHARGE_REWARD_DRAW_FAIL	首充奖励领取失败
42	RECHARGE_REBATE_NOT_MEET_REQUIRE	充值返利档位未达成
43	RECHARGE_REBATE_ALREADY_DRAW	充值返利奖励已领取
44	RECHARGE_REBATE_STEP_NOT_FOUND	充值返利档位不存在
45	PRIVILEGE_CARD_NOT_FOUND	权益卡不存在
46	PRIVILEGE_CARD_NOT_EFFECT	权益卡未激活
47	PRIVILEGE_CARD_DAILY_REWARD_GAINED	权益卡当日奖励已领取
48	STORE_REVIEWS_DONE	商店评价已设置
50	PLAYER_ROOM_SKIN_NOT_ENABLE	玩家房间皮肤不可用
51	PLAYER_NOT_REPORT_SELF	玩家不能举报自己
52	PLAYER_REPORT_CONTENT_ERROR	玩家举报内容
