java_path= ../Common/src
java_package=NPCommon.ErrMain
id	name	desc
1	HERO_HAD_SELECTED	英雄已经上场过
2	OPPONENT_HAD_SELECTED	已经选择对手
3	OPPONENT_DATA_LOAD_FAIL	对手数据加载失败
4	OPPONENT_NOT_FOUND	对手未找到
5	OPPONENT_NOT_SELECTED	对手未选择
6	HAD_BUY_ROUND_BUFF	已购买回合加成
7	CANT_BUY_ROUND_BUFF	不符合购买当前buff的条件
8	OPPONENT_HERO_NOT_FOUND	对手大臣数据不存在
9	HP_EMPTY	血量为空
10	REPORT_NOT_FOUND	战报未找到
11	BUY_RANDOM_ATTACK_NUM_OVER_LIMIT	购买随机攻击次数超上限
12	SELECT_ATTACK_NUM_OVER_LIMIT	指定攻击次数超上限
13	RANDOM_ATTACK_NUM_OVER_LIMIT	随机攻击次数超上限
14	HERO_NUM_NOT_ENOUGH_TO_ENTER_ARENA	英雄数量不足以进入竞技场
