java_path= ../Common/src
java_package=NPCommon.ErrMain

id	name	desc
1	HTTP_RESPONSE_ERROR	HTTP请求响应失败
2	PLATFORM_RESPONSE_ERROR	HTTP请求平台返回错误码
3	PLATFORM_RESPONSE_DATA_ERROR	HTTP请求平台返回数据
4	PLATFORM_DECODE_DATA_ERROR	HTTP请求平台返回数据解析错误
5	ANNOUNCEMENT_NOT_FOUND	找不到公告
6	ANNOUNCEMENT_HAD_DRAW	公告奖励已领取
7	QUESTIONNAIRE_REWARD_NOT_FOUND	找不到问卷奖励
8	QUESTIONNAIRE_ACTIVITY_NOT_FOUND	问卷活动不存在（玩家不可见）
9	QUESTIONNAIRE_REWARD_HAD_DRAW	问卷奖励已领取
10	QUESTIONNAIRE_REWARD_ADD_REPEAT	问卷奖励重复添加（玩家不可见）
11	NOTIFY_ROLE_GAME_EVENT_TYPE_NOT_FOUND	通知角色游戏事件类型找不到
12	QUESTIONNAIRE_REWARD_LIST_PARSE_FAILED	问卷奖励列表解析失败
13	QUESTIONNAIRE_ACTIVITY_REPEATED	问卷活动重复
14	QUESTIONNAIRE_ACTIVITY_CLOSED	问卷活动已关闭
15	PLATFORM_DEAL_MSG_ERROR	平台消息处理错误

