java_path= ../Common/src
java_package=NPCommon.ErrMain
id	name	desc
1	ACTIVITY_RANK_REWARD_STILL_CALCULATE	 活动排行榜奖励还在结算中
2	ACTIVITY_RANK_DONT_HAVE_REWARD	 活动排行榜没有奖励
3	ACTIVITY_RANK_REWARD_HAD_DRAW	 活动排行榜奖励已领取
4	ACTIVITY_STEP_REWARD_HAD_DRAW	 活动阶段奖励已领取
5	ACTIVITY_STEP_REWARD_NOT_COMPLETE	 活动阶段奖励阶段未达成
6	ACTIVITY_NOT_FOUND	 活动不存在
7	ACTIVITY_NOT_IN_FROZEN	 活动不在领奖期
8	ACTIVITY_RANK_NOT_FOUND	 活动排行榜不存在
9	ACTIVITY_STEP_REWARD_NOT_FOUND	 活动阶段奖励不存在
10	ACTIVITY_SHOP_NOT_FOUND	 活动商店不存在
11	ACTIVITY_SHOP_REFRESH_LIMIT	 活动商店还没到刷新时间
12	ACTIVITY_CRYSTAL_GIFT_PACK_REFRESH_LIMIT	 活动钻石礼包还没到刷新时间
13	ACTIVITY_CRYSTAL_GIFT_BUY_LIMIT	 活动钻石礼包达到购买上限
14	ACTIVITY_GIFT_PACK_GROUP_NOT_FOUND	 活动礼包组不存在
15	ACTIVITY_SCHEDULE_NOT_FOUND	 活动关联排期不存在
16	ACTIVITY_TYPE_ERROR	 活动类型错误
17	TEAM_CANNOT_KICK_SELF	 不能踢出自己
18	TEAM_PLAYER_NOT_IN_GROUP	 玩家退出群组
