java_path= ../Common/src
java_package=NPCommon.ErrMain
id	name	desc
1	STAGE_GOAL_STEP_REWARD_HAD_DRAW	阶段目标阶段奖励已领取
2	STAGE_GOAL_TASK_NOT_FOUND	阶段目标任务不存在
3	STAGE_GOAL_TASK_ALREADY_DONE	阶段目标任务已完成
4	STAGE_GOAL_TASK_NOT_DONE	阶段目标任务未完成
5	STAGE_GOAL_BIG_STEP_REWARD_HAD_DRAW	阶段目标大阶段奖励已领取
6	STAGE_GOAL_STEP_NOT_DONE	阶段目标阶段未完成
7	STAGE_GOAL_BIG_STEP_FIRST_REACH_REWARD_HAD_DRAW	阶段目标大阶段首次达成奖励已领取
8	STAGE_GOAL_BIG_STEP_FIRST_REACH_REWARD_NOT_UNLOCK	阶段目标大阶段首次达成奖励未解锁
9	STAGE_GOAL_SERVER_START_DAY_NOT_ENOUGH_TO_NEXT_STEP	阶段目标服务器开服天数不足以解锁下个阶段
10	STAGE_GOAL_UNLOCK_CONDITION_NOT_MEET_TO_NEXT_STEP	阶段目标解锁条件不满足解锁下个阶段
