java_path= ../Common/src
java_package=NPCommon.ErrMain
id	name	desc
1	GUILD_NAME_EXIST	联盟名称已存在
2	GUILD_NOT_EXIST	联盟不存在
3	NOT_MEMBER_OF_GUILD	不是联盟成员
4	DONT_HAVE_PERMISSION	没有权限
5	GUILD_SIMPLE_NAME_EXIST	联盟简称已存在
6	JOIN_REQUEST_NOT_FOUND	加入请求不存在
7	JOIN_REQUEST_REACH_LIMIT	加入请求已达上限
8	PLAYER_ALREADY_IN_GUILD	玩家已加入其它联盟
9	GUILD_MEMBER_NUM_REACH_LIMIT	联盟成员已达上限
10	NOT_FIT_GUILD_JOIN_LIMIT	不符合联盟加入条件
11	GUILD_NOT_ALLOW_TO_JOIN	联盟不允许加入
12	NO_GUILD_TO_JOIN	没有可加入的联盟
13	GUILD_HAD_DISSOLVE	联盟已解散
14	MEMBER_NOT_FOUND	成员不存在
15	MEMBER_NOT_DEPUTY_LEADER	不是副盟主
16	STILL_HAVE_OTHER_MEMBER	还有其他成员
17	GUILD_POSITION_NOT_EXIST	联盟职位不存在
18	GUILD_CONTRIBUTION_NOT_ENOUGH	联盟贡献度不足
19	CANT_HANDLE_NON_GUILD_REQUEST	不能处理非本盟的请求
20	LEADER_NOT_FOUND	找不到盟主
21	GUILD_POSITION_NUM_REACH_LIMIT	联盟职位已达上限
22	STRING_LENGTH_OVER_LIMIT	字符长度超过限制
23	JOIN_GUILD_CD	加入联盟冷却中
24	NO_JOIN_REQUESTS_TO_PROCESS	没有可以处理的加入请求
25	IMPEACH_EVENT_CANT_OPERATE	弹劾事件不能操作
26	IMPEACH_EVENT_HAS_VOTE	弹劾事件已经投票
27	EVENT_NOT_FOUND	事件不存在
28	GUILD_LEADER_PROACTIVE_TRANSFER_CD	盟主主动转让冷却中
29	JOIN_REQUEST_ALREADY_EXIST	重复申请加入
30	GUILD_FULL	联盟满员
31	GUILD_RECRUIT_CD	联盟公开招募冷却中
32	GUILD_HAD_DRAW_CONSTRUCT_REWARD	联盟已领取建设阶段奖励
33	GUILD_HAD_DRAW_ACTIVE_BOX_LIMIT	超过领取联盟活跃宝箱上限
34	GUILD_HAD_DRAW_ACTIVE_BOX	已领取联盟活跃宝箱
35	GUILD_HAD_DRAW_GREAT_REWARD_LIMIT	超过领取联盟大礼上限
36	GUILD_ACTIVE_BOX_NOT_EXIST	联盟活跃宝箱不存在
37	NO_GUILD_GREAT_REWARD_CAN_DRAW	没有可以领取的联盟大礼
38	NO_GUILD_ACTIVE_BOX_CAN_DRAW	没有可以领取的联盟活跃宝箱
39	GUILD_ACTIVE_BOX_EXPIRED	联盟活跃宝箱已过期
40	GUILD_HAD_DRAW_GREAT_REWARD	已领取联盟大礼
41	GUILD_GREAT_REWARD_EXPIRED	联盟大礼已过期
42	GUILD_CONSTRUCT_REWARD_POINT_NOT_ENOUGH	联盟建设阶段积分不足
43	GUILD_HERO_DISPATCH_ATTR_LIMIT	联盟大臣派遣属性上限

50	GUILD_DUNGEON_ERR	公会副本数据错误
51	GUILD_DUNGEON_NOT_FOUND	无法找到公会副本
52	GUILD_DUNGEON_NOT_UNLOCK	公会副本没有解锁
53	GUILD_DUNGEON_AUTO_TIME_ERROR	公会副本自动启动时间不符合要求
54	GUILD_DUNGEON_NOT_START	公会副本没有开启
55	GUILD_DUNGEON_STARTED	公会副本已开启
56	GUILD_DUNGEON_START_FAIL	公会副本开启失败
57	GUILD_DUNGEON_SET_LVL_FAIL	公会副本设置等级失败
58	GUILD_DUNGEON_LVL_UPDATED	公会副本等级已变化
59	GUILD_DUNGEON_ATTACK_FAIL	公会副本攻击失败
60	GUILD_DUNGEON_MONSTER_NOT_FOUND	公会副本怪物不存在
61	GUILD_DUNGEON_FIGHT_HERO_FAIL	公会副本出战大臣失败
62	GUILD_DUNGEON_MONSTER_KILLED	公会副本怪物已击杀
63	GUILD_DUNGEON_MONSTER_PRE_MONSTER_NOT_FOUND	公会副本怪物前置怪物不存在
64	GUILD_DUNGEON_MONSTER_PRE_MONSTER_NOT_KILLED	公会副本怪物前置怪物未击杀
65	GUILD_DUNGEON_NOT_RECOVER_HERO	公会副本出战大臣无需恢复
66	GUILD_DUNGEON_RECOVER_LIMIT	公会副本恢复次数超过上限
67	GUILD_DUNGEON_MONSTER_NOT_KILLED	公会副本怪物未击杀
68	GUILD_DUNGEON_MONSTER_NOT_REWARD	公会副本怪物无奖励
69	GUILD_DUNGEON_MONSTER_GAINED_REWARD	公会副本怪物已领奖
70	GUILD_DUNGEON_REWARD_EMPTY	公会副本奖励为空

75	GUILD_MARS_HELP_BUILDING_NOT_FOUND	公会火星求助建筑不存在
76	GUILD_MARS_HELP_NOT_FOUND	公会火星求助目标不存在
77	GUILD_MARS_HELP_SELF	公会火星求助自身数据
78	GUILD_MARS_HELP_OBJ_EXISTED	公会火星求助目标已发起
79	GUILD_MARS_HELP_OBJ_FAIL	公会火星求助目标不能求助
80	GUILD_MARS_HELP_SEND_FAIL	公会火星求助目标发起失败

90	GUILD_BOX_TYPE_ERR	公会宝箱类型错误
91	GUILD_BOX_NOT_FOUND	公会宝箱不存在
92	GUILD_BOX_NOT_REWARD	公会宝箱不存在可领取的宝箱
