java_path= ../Common/src
java_package=NPCommon.ErrMain
id	name	desc
1	INN_MEDAL_LEVEL_MAX	旅店勋章等级已达上限
2	INN_LEVEL_NOT_ENOUGH	旅店等级不足
3	INN_DISH_LEVEL_REACH_MAX	旅店菜品等级已达上限
4	INN_DISH_FINESSE_NOT_ENOUGH	旅店菜品熟练度不足
7	INN_RECEIVE_GUEST_NOT_ENOUGH	旅店接待客人数量不足
8	INN_STATION_ALREADY_BUILT	旅店设施已建造
9	INN_STATION_LEVEL_REACH_MAX	旅店设施等级已达上限
10	INN_DISH_ALREADY_UNLOCKED	旅店菜品已解锁
11	INN_REQUIRE_STATION_NOT_EXIST	旅店设施不存在
12	INN_DISH_UNLOCK_CONDITION_NOT_MET	旅店菜品解锁条件未满足
13	INN_SPECIAL_GUEST_HAD_SERVE	旅店特殊客人已服务过
14	INN_HANDBOOK_REWARD_HAD_DRAW	旅店图鉴奖励已领取
15	INN_GUEST_NOT_BEEN_SERVE	旅店客人未被服务
16	INN_RECEIVE_CD	旅店接待冷却中
17	INN_NO_GUEST_CAN_RECEIVE	旅店没有可接待的客人
18	INN_NO_DISH_CAN_RECEIVE	旅店没有可接待的菜品
19	INN_NO_GUEST_CAN_SETTLE	旅店没有可结算的客人
21	INN_STATION_NOT_FOUND	旅店设施未找到
22	INN_DISH_NOT_FOUND	旅店菜品未找到
23	INN_SPECIAL_GUEST_MUSEUM_ITEM_HAD_DRAW	旅店特殊客人博物馆物品已领取
24	INN_GUEST_NOT_FOUND	旅店客人未找到
25	INN_SPECIAL_GUEST_NOT_FOUND	旅店特殊客人未找到
26	INN_DISH_RECIPE_NOT_GAINED	旅店菜品菜谱未获得
27	INN_GUEST_HAD_UNLOCK	旅店客人已解锁
28	INN_GUEST_UNLOCK_CONDITION_NOT_MEET	旅店客人解锁条件未满足
29	INN_INLINE_GUEST_NUM_LIMIT	旅店队伍内客人数量已达上限
