java_path= ../Common/src
java_package=NPCommon.ErrMain
id	name	desc
1	TREASURE_HUNT_ORE_RECORD_REWARD_HAD_DRAW	太空寻宝矿石记录奖励已领取
2	TREASURE_HUNT_ORE_RECORD_REWARD_NOT_REACHED	太空寻宝矿石记录奖励未达到
3	TREASURE_HUNT_SKILL_HAD_ACTIVE	太空寻宝技能已激活
4	TREASURE_HUNT_SKILL_ACTIVE_FAIL	太空寻宝技能激活失败
5	TREASURE_HUNT_TREASURE_NO_OUTPUT	太空寻宝奇物无产出
7	TREASURE_HUNT_CANT_DRAW_GEM	太空寻宝无法领取钻石奖励
8	TREASURE_HUNT_NO_CAPTURE_ITEM_CAN_DRAW	太空寻宝没有可领取的捕获物品
9	TREASURE_HUNT_CAPTURE_ITEM_NUM_REACH_LIMIT	太空寻宝捕获物品数量已达上限
10	TREASURE_HUNT_ORE_NOT_FOUND	太空寻宝矿石不存在
11	TREASURE_HUNT_TREASURE_NOT_FOUND	太空寻宝奇物不存在
12	TREASURE_HUNT_SKILL_NOT_EXIST	太空寻宝技能不存在
13	TREASURE_HUNT_COMPOSITE_NOT_FOUND	太空寻宝矿石组合不存在
14	TREASURE_HUNT_NO_PENDING_ORE_CAN_TRANS	太空寻宝没有待转换的矿石
15	TREASURE_HUNT_ORE_RECORD_REWARD_NOT_EXIST	太空寻宝矿石记录奖励不存在
16	TREASURE_HUNT_PENDING_ORE_LIMIT	太空寻宝待处理矿石数量已达上限
