java_path= ../Common/src
java_package=NPCommon.ErrMain
id	name	desc    
1	ORDER_CANT_OPERATE	订单已失效
2	ORDER_NOT_EXIST	订单不存在
3	NOT_SUPPORT_PAY_TYPE	不支持现金购买
4	PURCHASE_LIMIT_REACHED	购买次数已达上限
5	VOUCHER_NOT_ENOUGH	代金券不足
6	RELATIVE_ACTIVITY_NOT_OPEN	礼包关联活动未开启
7	PLAT_NOTIFY_PAY_UID_NOT_MATCH	平台回调支付用户ID不匹配
8	CREATE_ORDER_FAILED	创建订单失败
9	PLAT_NOTIFY_PAY_INFO_NOT_MATCH	平台回调支付信息不匹配
10	PUSH_GIFT_TRIGGER_NOT_EXPIRED	推送礼包未过期
11	PUSH_GIFT_TRIGGER_COOLDOWN	触发冷却中
12	PUSH_GIFT_NOT_ACTIVE	推送礼包未激活
13	PUSH_GIFT_CANT_AUTO_TRIGGER	推送礼包无法自动触发
14	PUSH_GIFT_NO_NEXT_CAN_TRIGGER	推送礼包没有下一个可触发礼包
