java_path= ../Common/src
java_package=NPCommon.ErrMain
csharp_type = main
id	name	desc

1	MARS_NOT_UNLOCK	火星系统未解锁
2	MARS_GO_ROUTE_NEXT_NOT_FIND	前往火星下一个阶段未找到
3	MARS_GO_ROUTE_PRE_NOT_FIND	前往火星上一个阶段未找到
4	MARS_GO_ROUTE_NEXT_ERROR	前往火星下一个阶段错误
5	MARS_GO_ROUTE_NEXT_SECS_NOT_FULL	前往火星下一个阶段时间不足
6	MARS_GO_ROUTE_NOT_DONE	前往火星未完成
7	MARS_GO_ROUTE_ALREADY_SENT_STAGE_MSG	前往火星-当前阶段已发送过留言
8	MARS_GO_ROUTE_STAGE_NOT_ALLOW_MSG	前往火星-当前阶段不允许留言

10	MARS_PEOPLE_IMMIGRANT_NOT_START	火星居民-移民未开始
11	MARS_PEOPLE_IMMIGRANT_NOT_END	火星居民-之前的移民未结束
12	MARS_PEOPLE_IMMIGRANT_NUM_ERROR	火星居民-移民数量错误
13	MARS_PEOPLE_IMMIGRANT_USED_LIMIT	火星居民-进入移民次数已满

20	MARS_PEOPLE_INTELLIGENT_NOT_FOUND	火星居民-决策未找到
21	MARS_PEOPLE_INTELLIGENT_NOT_UNLOCK	火星居民-决策未解锁
22	MARS_PEOPLE_INTELLIGENT_IN_COOLING	火星居民-决策CD未结束

30	MARS_PEOPLE_LETTER_NOT_FOUND	火星居民-信件未找到
31	MARS_PEOPLE_LETTER_DEALED	火星居民-信件已处理
32	MARS_PEOPLE_LETTER_NOT_DEAL	火星居民-信件不能处理

40	MARS_PEOPLE_HELP_NOT_FOUND	火星居民-帮助未找到
41	MARS_PEOPLE_HELP_NOT_REWARD	火星居民-不是奖励型帮助
42	MARS_PEOPLE_HELP_NOT_CHOICE	火星居民-不是选择型帮助
43	MARS_PEOPLE_HELP_DEALED	火星居民-帮助已处理
44	MARS_PEOPLE_HELP_OPTION_ERROR	火星居民-选择型帮助的选项下标错误
45	MARS_PEOPLE_IDLE_NOT_ENOUGH	火星居民-没有足够的空闲人口

50	MARS_BUILDING_NOT_FOUND	火星建筑-未找到
51	MARS_BUILDING_BUILT	火星建筑-已建造
52	MARS_BUILDING_BUILD_FAIL	火星建筑-建造失败
53	MARS_BUILDING_NOT_BUILD	火星建筑-尚未建造
54	MARS_BUILDING_UPGRADING	火星建筑-正在创建（升级）中
55	MARS_BUILDING_NOT_UPGRADING	火星建筑-不在创建（升级）中
56	MARS_BUILDING_UPGRADING_NOT_END	火星建筑-未达到创建（升级）时间
57	MARS_BUILDING_EQUIPMENT_NOT_FOUND	火星建筑-部件未找到
58	MARS_BUILDING_DISPATCH_LIMIT	火星建筑-派遣人数超过上限
59	MARS_BUILDING_PEOPLE_SUM_LIMIT	火星建筑-达到建筑允许的人口上限
60	MARS_BUILDING_EQUIPMENT_LVL_LIMIT	火星建筑-部件等级到达上限
61	MARS_BUILDING_EQUIPMENT_LVL_NOT_FULL	火星建筑-部件等级未满级
62	MARS_BUILDING_UPGRADING_LIMIT	火星建筑-建造队列超过上限
63	MARS_BUILDING_UPGRADE_DONE	火星建筑-已完成升级

70	MARS_TECH_NOT_FOUND	火星科技-科技未找到
71	MARS_TECH_PARENT_NOT_UNLOCK	火星科技-前置科技未解锁
72	MARS_TECH_UPGRADING	火星科技-正在升级中
73	MARS_TECH_NOT_UPGRADING	火星科技-不在升级中
74	MARS_TECH_UPGRADING_SECS_NOT_FULL	火星科技-升级时间不够
75	MARS_TECH_UPGRADING_LINES_FULL	火星科技-升级队列不足
76	MARS_TECH_UPGRADE_DONE	火星科技-完成升级

80	MARS_EXPLORE_UP_LVL_SUM_NOT_ENOUGH	火星探索-探索次数不够
81	MARS_EXPLORE_TEAM_NOT_FOUND	火星探索队伍-队伍不存在
82	MARS_EXPLORE_TEAM_NOT_UNLOCK	火星探索队伍-尚未解锁
83	MARS_EXPLORE_TEAM_STATE_ERROR	火星探索队伍-队伍状态错误
84	MARS_EXPLORE_TEAM_HERO_USED	火星探索队伍-大臣已经被使用
85	MARS_EXPLORE_TEAM_HERO_LIMIT	火星探索队伍-大臣数量达到上限
86	MARS_EXPLORE_TEAM_HERO_REPEAT	火星探索队伍-大臣重复使用
87	MARS_EXPLORE_EVENT_NOT_FOUND	火星探索事件-事件不存在
88	MARS_EXPLORE_EVENT_OCCUOIED	火星探索事件-事件已经被占据
89	MARS_EXPLORE_TEAM_TRANS_FAIL	火星探索队伍-队伍切换状态失败
90	MARS_EXPLORE_EVENT_TYPE_ERROR	火星探索事件-事件类型错误
91	MARS_EXPLORE_EVENT_NOT_DONE	火星探索事件-事件未完成
92	MARS_EXPLORE_NO_IDLE_POS	火星探索事件-没有空闲位置
93	MARS_EXPLORE_EVENT_HAD_REWARD	火星探索事件-已领奖
94	MARS_MINE_NOT_FOUND	火星探索-未找到火星矿
95	MARS_MINE_EXPIRED	火星探索-火星矿已过期
96	MARS_MINE_HAD_OCCUPIED	火星探索-火星矿已占领
97	MARS_MINE_ATTACK_FAIL	火星探索-火星矿进攻失败
98	MARS_MINE_RES_EMPTY	火星探索-火星矿无资源
99	MARS_TEAM_LOSS_NOT_EMPTY	火星探索队伍-尚未修复队伍损耗
100	MARS_TEAM_LOSS_EMPTY	火星探索队伍-队伍无损耗
101	MARS_TEAM_NOT_OCCUPY	火星探索队伍-无占领火星矿
102	MARS_BAG_ITEM_RED_TIME_TYPE_ERR	火星减少时间道具-道具类型不支持
103	MARS_MINE_OTHER_PLAYER_OCCUPY	火星探索-火星矿被其他玩家占领
104	MARS_MINE_COLLECT_SPEED_ERROR	火星探索-火星矿采集速度错误
105	MARS_MINE_OTHER_PLAYER_FORWARD	火星探索-火星矿有其他玩家前往
106	MARS_MINE_ALREADY_OCCUPY	火星探索-已经占有
107	GUILD_MARS_MINE_SHARE_NOT_FOUND	火星公会分享矿-未找到分享记录
108	MARS_MINE_ALREADY_OCCUPY_GUILD_MATE	火星探索-公会成员已占领该矿
109	MARS_TEAM_LOSS_NUM_ERROR	火星探索队伍-准备修复的伤兵数超过当前已有的伤兵数
