错误码	名称	说明
10001	SYS_ERR	系统错误
10002	REF_NOT_FOUND	配表找不到
10003	SYS_BUSY	系统忙
10004	UNKNOW_ERR	未知错误
10005	PARAM_ERROR	参数错误
10006	RPC_CALL_ERR	远程调用失败
10007	CONSUME_FAIL	消耗失败
10008	ITEM_NOT_ENOUGH	物品不足
10009	FILE_READ_ERR	文件读取错误
10010	PLAYER_NOT_FOUND	玩家找不到
10011	SYSTEM_UNLOCK	系统未开放
10012	PRICE_ERR	价格配置错误
10013	NOT_CROSS_GROUP_ERR	当前不是跨服分组
10014	PLAYER_CACHE_ERR	玩家缓存错误
10015	REF_ERROR	配表错误
10017	TIME_PRICE_CAL_ERR	道具消耗计算错误
10018	NUM_REACH_LIMIT	数量超过限制
10019	CONDITION_NOT_ENABLE	不满足条件
10020	OP_DISABLE	操作无效
10021	DATA_STATE_ERR	数据对象状态变化引发的通用错误
10022	OBJ_ERR	数据对象错误
10023	PROTOCOL_ERR	通用协议处理错误
10024	CID_ILLEGAL	CID格式错误
10025	US_NOT_FOUND	US服务器找不到
10026	DATA_LOST	数据已丢失
10027	PROCESS_TIMEOUT	处理超时
10028	SING_CHECK_FAIL	签名校验失败
10029	PARAM_NUM_ERROR	参数数量错误
10030	PROTOCOL_BLOCKED	系统暂未开放，请耐心等待
10031	REWARD_NOT_FOUND	奖励物品未找到
20001	HERO_REACH_CURRENT_STEP_LIMIT	等级达到当前阶段上限
20002	HERO_UPGRADE_FAIL	骑士升级失败
20003	HERO_LEVEL_NOT_ENOUGH	骑士等级不够
20004	HERO_STEP_IS_MAX	骑士已达到最大阶段
20005	HERO_SKILL_NOT_EXIST	骑士技能不存在
20006	HERO_STAR_REACH_MAX	骑士星级达到上限
20007	HERO_BUSINESS_SKILL_LEVEL_REACH_MAX	骑士经验技能等级达到上限
20008	HERO_DONT_HAVE_HALO	大臣没有光环
20009	HERO_TALENT_SKILL_NOT_EXIST	骑士资质技能不存在
20010	HERO_SKIN_NOT_EXIST	骑士皮肤不存在
20011	HERO_NOT_FOUND	骑士不存在
20012	HERO_SKIN_ALREADY_EXIST	已拥有骑士皮肤
20013	HERO_A_KEY_UPGRADE_FUNC_NOT_UNLOCK	大臣一键升级功能未解锁
20014	HERO_HALO_UNLOCK_REPEAT	大臣重复解锁光环
20015	HERO_NOT_PLACE	大臣未驻扎
20016	HERO_HALO_NOT_UNLOCK	大臣光环尚未解锁
20017	HERO_ALREADY_EXISTED	大臣已经存在
20018	HERO_TALENT_SKILL_LEVEL_REACH_MAX	大臣资质技能等级达到上限
20019	HERO_CANT_PLACE_TO_THIS_ATTR_BUILDING	大臣无法驻扎到该相性建筑
20020	HERO_TALENT_SKILL_CANT_MANUAL_UPGREADE	大臣资质技能不支持手动升级
20021	EQUIP_LEVEL_MAX	藏品等级已达到最大
20022	EQUIP_IS_NOT_BEEN_WEAR	藏品没有被穿戴
20023	EQUIP_NUM_REACH_LIMIT	该藏品数量达到上限
20024	EQUIP_NOT_FOUND	藏品不存在
20025	EQUIP_SKILL_NOT_FOUND	藏品技能不存在
20026	EQUIP_RESHAPE_FAIL	藏品重塑失败
20027	EQUIP_IS_LOCKED	藏品已锁定
20028	EQUIP_IS_WEARED	藏品已穿戴
30001	CHAPTER_BOSS_NOT_DEFEAT	关卡BOSS未击败
30002	CHAPTER_POINT_NOT_FIT	关卡点位不符
30003	CHAPTER_BOSS_HAD_DEFEAT	关卡BOSS已击败
30004	CHAPTER_ATTACK_BOSS_POWER_NOT_ENOUGH	关卡攻击BOSS战力不足
30005	CHAPTER_NOT_ATTACK_BOSS	关卡没有在攻击BOSS
30006	CHAPTER_NOT_UNLOCK	关卡未解锁
30007	CHAPTER_EVENT_NOT_DONE	关卡事件未完成
30008	CHAPTER_EVENT_NOT_FOUND	没有可以处理的关卡事件
30009	CHAPTER_PLOT_REWARD_HAD_DRAW	关卡剧情奖励已领取
40001	CONSORT_NOT_EXISTS	家人不存在
40002	CONSORT_FETTERS_UP_NOT_ENABLE	家人资质升级条件未满足
40003	CONSORT_SKILL_NOT_EXISTS	家人技能不存在
40004	CONSORT_SKILL_NOT_UNLOCK	家人技能未解锁
40005	CONSORT_SKILL_LVL_FULL	家人技能已经满级
40006	CONSORT_SKIN_NOT_EXISTS	家人皮肤不存在
40007	CONSORT_CG_NOT_UNLOCK	家人CG未解锁
40008	CONSORT_CG_HAD_REWARDED	家人CG已领奖
40009	CONSORT_SKIN_HAD_UNLOCKED	家人皮肤已解锁
40010	CONSORT_HALO_HAD_UNLOCKED	家人星辉已解锁
40011	CONSORT_EXISTED	家人已经存在
40012	CHAT_DIALOGUE_NOT_TRIGGERED	家人对话未触发
40013	CHAT_DIALOGUE_REWARD_HAD_DRAW	家人对话奖励已领取
40014	CONSORT_MOMENT_CHAT_OVER_LIMIT	家人朋友圈聊天次数超过上限
